h,A,N,c,P,raw_water,raw_fertilizer,raw_temperature,raw_radiation,delayed_water,delayed_fertilizer,delayed_temperature,delayed_radiation,cumulative_water,cumulative_fertilizer,cumulative_temperature,cumulative_radiation,cumulative_divergence_water,cumulative_divergence_fertilizer,cumulative_divergence_temperature,cumulative_divergence_radiation,nuW,nuF,nuT,nuR,ah_hat,aA_hat,aN_hat,ac_hat,aP_hat,kh_hat,kA_hat,kN_hat,kc_hat,kP_hat
0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05,0.7948299504657472,56.53997357940056,25.1,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05,0.03375,0.0,25.3,1937.0,0.009584489823374532,0.11397493746443416,21.688182430964503,555.8276243621416,0.0,0.0,0.0,0.0,5.0000000000000044e-08,5.0000000000000044e-08,5.0000000000000044e-08,5.0000000000000044e-08,0.9499998575000106,0.9499998575000106,0.9499998575000106,0.9499998575000106,0.009499998575000106,0.009974998503750112,0.011,0.010526317368421172,0.004749999287500053,2.8499995725000318,0.6174999073750069,18.999997150000212,1017.2448190533407,0.23983175420360986
0.0010443535541696464,0.00022638407089125353,0.006972804574294754,0.3484752720445262,8.661720507201239e-05,0.03375,0.0,25.2,1815.0,0.009673503075008104,0.11393321962140034,21.697122237697847,560.4803986115247,0.009584489823374532,0.11397493746443416,21.688182430964503,555.8276243621416,0.0010387710053884028,0.001255263631509003,0.0012399878420647369,0.0010419602421129384,0.9945441036398456,0.993929219138626,0.9939725924932146,0.9945350426396188,0.009941455798015754,0.010438528587916543,0.011,0.010057794321070049,0.00497126888897053,2.9824367394047266,0.6462464266646571,19.88507555588212,1002.0202901746862,0.24883378053922886
0.0010547840381664,0.00022875872336607442,0.007049901487312744,0.3519966122067534,8.704872356285262e-05,0.03375,0.0,25.0,1621.0,0.0097673613990173,0.11389127146000846,21.705838128649876,564.6971214730212,0.019257992898382634,0.2279081570858345,43.38530466866235,1116.3080229736663,0.0022234697365718795,0.002871918411851089,0.002824713032493753,0.0022453788105022167,0.9934114043389259,0.9915466522756994,0.991682211575076,0.9933489275866012,0.009921922588259696,0.010418018717672681,0.011,0.010075412246903722,0.004962576098597408,2.9765767764779083,0.6450833793143266,19.85030439438963,1002.8090939142054,0.24847781196054383
0.0010652978505741144,0.00023115353498443195,0.007127850490931541,0.35555978579872927,8.748163066724104e-05,0.03375,0.0,24.4,1132.0,0.00986621861470894,0.11384909217736448,21.71288582075015,567.4000795627277,0.029025354297399934,0.341799428545843,65.09114279731223,1681.0051444466876,0.0033305729210765843,0.004624211401297993,0.004528819824877025,0.0034045507218711493,0.9902257012061401,0.9864893226059982,0.986764259474367,0.9900138599297164,0.009877545180992804,0.010371422440042445,0.011,0.010117487049957163,0.004941938621034528,2.963263554297841,0.6423613695626033,19.767754484138113,1004.5228871159195,0.24763924096200085
0.0010758686787931818,0.00023356252498582108,0.007206660924717329,0.3591741242417712,8.791487568798084e-05,0.03375,0.0,23.9,1041.0,0.00997022533566391,0.11380668097130081,21.718515675905746,569.9123747986288,0.038891572912108874,0.4556485207232075,86.80402861806238,2248.405224009415,0.004272449194815487,0.00642228738882154,0.006263803611332181,0.0044687158748447815,0.9874125076092961,0.9811961457809006,0.9816530575994388,0.9868498418145067,0.009832296752447919,0.010323911590070315,0.011,0.010160040760222935,0.0049212400993264216,2.9496890257343757,0.6396421341570352,19.684960397305687,1006.3827286632796,0.24680563331975855
0.001086495198427546,0.0002359853994943724,0.007286342296163431,0.36284062666221917,8.834843697934244e-05,0.03375,0.0,23.0,691.0,0.010079528286106379,0.11376403704040713,21.721218223039724,571.2995945098018,0.048861798247772786,0.5694552016945083,108.52254429396812,2818.317598808044,0.0050073123871698585,0.008222336622312386,0.007987370539039284,0.005418877799040534,0.98520643819682,0.9759128052389255,0.9765892182081355,0.9840235449874085,0.009788349714705631,0.010277767200440912,0.011,0.01020096581914421,0.004901496670654922,2.9365049144116893,0.6370688738994246,19.605986682619687,1008.3313622594485,0.2460223158939052
0.0010971784200527466,0.0002384223967816572,0.007366904223601789,0.3665595419617731,8.878238290098097e-05,0.03375,0.0,21.6,113.0,0.010194269599393452,0.11372115958406133,21.719046309016402,570.6854972207472,0.058941326533879165,0.6832192387349154,130.24376251700784,3389.6171933178457,0.0055131312981186705,0.010000548212537014,0.009677722007454098,0.006261022661057628,0.98367712128924,0.9707173809046131,0.9716444955420594,0.9815238000712064,0.009746163179270599,0.01023347133823413,0.011,0.010239904002514795,0.004882858275597175,2.9238489537811794,0.6346741550732373,19.5314331023887,1010.3723366130113,0.2453002752729404
0.0011079199071359696,0.00024087388175646535,0.007448356432660636,0.37033097731597364,8.921679675141045e-05,0.03375,0.0,20.9,0.0,0.010314586101697547,0.11367804780246059,21.714208386533972,569.6068547713003,0.06913559613327262,0.7969403983189768,151.96280882602423,3960.3026905385927,0.0057777203968465566,0.011743206053332986,0.011323872917208213,0.0070222959831763064,0.9828592402420075,0.9656504041588048,0.9668512154332063,0.9792719853742409,0.009705717243989907,0.010191003106189402,0.011,0.010277050981924139,0.00486520890943743,2.911715173196972,0.6324609696566464,19.46083563774972,1012.5336120782748,0.24464156684955998
0.0011187212656461414,0.00024334022970084204,0.0075307087558316365,0.37415509795976676,8.965175325927223e-05,0.03375,0.0,19.9,0.0,0.010440608584211118,0.11363470089665258,21.705491070651053,568.4385049664529,0.07945018223497016,0.9106184461214374,173.6770172125582,4529.909545309893,0.005794285297010584,0.013442226683765594,0.012920251757517424,0.007725687454793519,0.9827719486239386,0.9607343588955123,0.9622243497079067,0.9771985888199306,0.009666906073660641,0.010150251377343674,0.011,0.010312653193960858,0.004848412824478599,2.9000718220981927,0.630425695339886,19.393651297914396,1014.8406605293414,0.2440459486418147
